ano_eleicao,sg_uf,sg_partido,nr_candidato,nm_candidato,comp_rrd,comp_texto,comp_cod_ok,comp_cod_kf,vit_texto,qe_texto,vit_prefeito_rrd,vit_prefeito_ok,vit_distrital,qe_majoritario,qe_rrd,qe_prop_ok,eleito,vr_receita_recursos_partidos
2022,AC,AGIR,3600,UZIR SANTOS DE LIMA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3603,NILVA MARIA SANTOS DANIEL,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3628,SORAIA RAMALHO DO NASCIMENTO,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3636,RAIMUNDO JINKINGS DE MELO,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3654,EMILSON CHAVES DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3663,FRANCISCO SARAIVA GAMA DE SOUZA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,AGIR,3678,JHONATHAN MARTINS DA COSTA,False,False,False,False,False,False,False,False,False,False,False,False,0,
2022,AC,CIDADANIA,2323,MARIA ODETE OLIVEIRA DA CONCEIÇÃO SAMPAIO,False,False,False,False,False,False,False,False,False,False,False,False,0,26100.0
2022,AC,CIDADANIA,2345,CARLOS LEANDRO DA COSTA SOUSA,False,False,False,False,False,False,False,False,False,False,False,False,0,21100.0
2022,AC,MDB,1500,WHERLES FERNANDES DA ROCHA,True,True,True,True,True,True,False,False,False,False,True,True,0,1012600.0
2022,AC,MDB,1505,EDITH MONTES DO NASCIMENTO DE QUEIROIS,False,False,False,False,False,False,False,False,False,False,False,False,0,107957.0
2022,AC,MDB,1507,ALDA RADINE CASTRO DE ANDRADE NERY,False,False,False,False,False,False,False,False,False,False,False,False,0,28657.0
2022,AC,MDB,1512,AMARALDO PASCOAL UCHOA PINHEIRO,False,False,False,False,False,False,False,False,False,False,False,False,0,124307.0
2022,AC,MDB,1515,JESSICA ROJAS SALES,True,True,True,True,True,True,False,False,False,False,True,True,0,2500000.0
2022,AC,MDB,1555,FLAVIANO FLAVIO BAPTISTA DE MELO,True,True,True,True,True,True,False,True,False,True,True,True,0,2577602.0
2022,AC,MDB,1567,RAPHAEL LUIZ BASTOS JUNIOR,False,False,False,False,False,False,False,False,False,False,False,False,0,92600.0
2022,AC,MDB,1568,JEFFERSON MONTEIRO SOARES,False,False,False,False,False,False,False,False,False,False,False,False,0,77098.5
2022,AC,MDB,1569,FRANCISCO HAMILTON D  AVILA LUCENA,False,False,False,False,False,False,False,False,False,False,False,False,0,124257.0
2022,AC,PATRIOTA,5115,NAZARE GONÇALVES PEIXOTO,False,False,False,False,False,False,False,False,False,False,False,False,0,75000.0
2022,AC,PATRIOTA,5122,RENILDO SOUZA DE JESUS,False,False,False,False,False,False,False,False,False,False,False,False,0,50000.0
2022,AC,PATRIOTA,5123,CLARA REGINA DUTRA DA SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,75000.0
2022,AC,PATRIOTA,5133,MANOEL DO CARMO SILVA,False,False,False,False,False,False,False,False,False,False,False,False,0,30000.0
2022,AC,PATRIOTA,5151,JORGE HENRIQUE MELO MULATO,False,False,False,False,False,False,False,False,False,False,False,False,0,30000.0
2022,AC,PATRIOTA,5188,ANTONIO JOSÉ DA SILVA SANTANA,True,True,True,True,False,True,False,False,False,False,True,True,0,240000.0
2022,AC,PC do B,6513,MARIA PERPETUA DE ALMEIDA,True,True,True,True,True,True,False,False,False,True,True,True,0,2156846.68
2022,AC,PC do B,6565,JOSÉ NUNES DA CRUZ,False,False,False,False,False,False,False,False,False,False,False,False,0,36764.55
2022,AC,PDT,1200,MARIA ROSILENE DANTAS BARROS,False,False,False,False,False,False,False,False,False,False,False,False,0,24300.6
2022,AC,PDT,1212,JESUS SERGIO DE MENEZES,True,True,True,True,True,True,False,False,False,False,True,True,0,1400000.0
2022,AC,PDT,1221,MARIA DE JESUS GOMES DA SILVA CAVALCANTE,False,False,False,False,False,False,False,False,False,False,False,False,0,140846.05
2022,AC,PDT,1222,RALPH LUIS DO NASCIMENTO FERNANDES,False,False,False,False,False,False,False,False,False,False,False,False,0,37000.4
